vx	vy	vz	score	numLines
-0.99398382	-0.10952524	-0.00061927	1675.16	184
-0.58885474	0.80822813	0.00417030	1129.17	173
-0.98010567	-0.19847638	-0.00000195	858.94	137

nLines	x1	y1	x2	y2	length
184
	465.01	140.53	471.95	139.78	6.99
	434.95	142.30	448.99	140.97	14.11
	550.29	142.26	556.00	141.89	5.73
	459.00	151.96	480.01	150.41	21.07
	264.98	166.85	322.96	167.21	57.98
	577.00	165.83	582.08	165.77	5.09
	558.01	167.22	565.05	167.30	7.04
	279.02	172.49	307.98	171.58	28.97
	293.97	198.66	387.02	199.60	93.06
	310.06	173.75	318.86	172.81	8.85
	246.06	180.03	252.00	180.01	5.94
	435.00	190.95	481.00	187.94	46.10
	490.99	187.57	512.04	188.73	21.07
	389.01	189.24	438.01	189.48	49.00
	289.00	190.00	308.99	191.08	20.02
	244.06	193.06	257.10	192.80	13.04
	491.06	194.34	530.95	194.14	39.90
	474.99	195.29	481.95	195.43	6.96
	407.03	198.07	431.01	198.25	23.97
	449.00	202.34	483.00	202.15	34.00
	569.97	198.91	574.99	199.06	5.03
	152.58	201.44	165.99	200.97	13.41
	168.00	200.12	182.03	200.36	14.03
	553.10	200.43	565.06	200.41	11.96
	614.03	200.69	622.96	200.51	8.94
	403.51	200.77	425.04	200.81	21.53
	220.00	202.02	225.96	202.13	5.96
	491.00	203.06	514.00	202.86	23.00
	519.97	203.46	532.97	203.94	13.00
	553.00	203.68	591.00	204.48	38.01
	490.98	206.32	499.00	206.01	8.02
	568.00	212.20	585.01	211.88	17.01
	351.00	213.04	362.98	213.92	12.01
	465.06	215.54	484.02	215.54	18.96
	560.98	217.60	583.05	218.81	22.10
	406.92	217.61	412.00	217.71	5.09
	369.98	217.86	384.08	218.61	14.11
	458.88	217.60	464.16	217.67	5.29
	151.74	220.17	163.99	221.88	12.37
	567.02	222.89	592.02	223.86	25.02
	470.97	223.59	477.03	223.80	6.06
	523.21	224.53	530.97	225.26	7.79
	602.89	224.87	609.99	225.03	7.10
	572.13	224.77	579.18	225.56	7.10
	168.00	226.08	173.19	226.76	5.23
	254.04	225.91	260.91	226.69	6.91
	462.96	227.53	476.99	229.03	14.11
	199.20	229.17	206.35	230.06	7.20
	561.04	230.22	568.00	231.03	7.00
	445.97	232.50	452.97	232.58	7.00
	138.92	235.14	151.90	236.24	13.03
	540.93	234.90	549.07	235.61	8.17
	462.07	236.41	472.42	237.59	10.42
	525.03	236.19	534.13	236.74	9.11
	299.02	237.36	310.62	238.23	11.63
	334.00	239.05	361.98	242.68	28.21
	595.92	240.29	601.03	240.32	5.11
	513.29	241.58	520.03	242.30	6.77
	304.83	242.89	315.07	244.33	10.34
	600.99	242.91	611.00	244.12	10.08
	536.96	246.37	542.69	246.62	5.74
	468.79	246.41	482.99	247.02	14.21
	314.99	253.05	334.00	255.01	19.11
	531.02	251.14	539.02	251.85	8.02
	445.03	253.26	455.06	254.54	10.11
	454.04	252.54	477.96	255.30	24.08
	555.00	254.24	566.07	255.43	11.14
	138.98	255.21	158.02	259.27	19.48
	458.00	259.06	471.89	261.38	14.09
	547.00	259.00	555.97	259.76	9.00
	481.03	260.47	500.00	262.95	19.13
	517.99	260.36	535.82	261.65	17.88
	333.11	260.76	342.08	261.85	9.04
	610.05	261.84	625.08	262.42	15.05
	592.00	265.27	609.00	267.74	17.17
	533.93	266.74	563.85	270.49	30.15
	617.04	274.57	601.96	272.98	15.17
	369.00	270.44	379.08	272.31	10.25
	509.92	275.58	524.93	277.08	15.09
	469.38	275.49	489.98	279.63	21.01
	293.20	276.20	300.09	277.83	7.08
	579.98	276.40	590.99	277.44	11.06
	305.52	277.23	335.01	281.84	29.84
	549.04	289.64	540.41	288.40	8.72
	597.92	279.53	611.92	281.36	14.12
	203.98	280.18	209.97	282.09	6.29
	433.00	279.91	444.03	281.17	11.11
	520.98	281.12	535.00	283.82	14.28
	481.98	285.09	511.00	289.92	29.42
	168.43	286.59	174.64	288.22	6.42
	534.00	293.03	556.01	296.05	22.21
	435.05	293.87	461.97	298.63	27.34
	312.05	298.50	324.96	301.07	13.16
	579.05	301.57	607.95	306.09	29.25
	206.81	303.40	215.96	306.14	9.55
	499.00	340.00	509.02	342.43	10.31
	456.90	313.04	466.00	315.00	9.31
	443.00	316.45	448.25	317.37	5.33
	559.05	314.52	573.02	316.30	14.08
	624.04	315.50	629.00	316.12	5.00
	557.01	319.29	566.96	321.64	10.22
	427.98	323.24	437.00	324.98	9.19
	521.99	325.20	555.01	332.66	33.86
	495.35	326.66	500.99	327.94	5.79
	225.97	329.89	230.85	331.49	5.13
	439.89	330.37	445.99	332.12	6.35
	617.92	331.23	625.00	332.73	7.24
	511.09	331.75	531.64	337.49	21.34
	430.42	336.88	435.97	338.12	5.68
	415.82	346.62	428.87	350.90	13.73
	304.95	351.23	309.82	352.66	5.08
	355.93	352.07	366.01	354.65	10.41
